Name, URL, Comment, Tags, Added
InTheWild.io, https://inthewild.io/, CVEs; Exploits; CTI; Ransomware, 2024-08-30
Azure Tiering, https://github.com/emiliensocchi/azure-tiering, Azure AD; Entra ID; M365; Administration; Tiering, 2024-08-30
HardeningKitty, https://github.com/scipag/HardeningKitty, Tools; Hardening; Windows; Microsoft, 2024-08-30
Microsoft Security Compliance Toolkit, https://www.microsoft.com/en-us/download/details.aspx?id=55319, Tools; Hardening; Windows; Microsoft, 2024-08-30
PingCastle, https://www.pingcastle.com/download/, Tools; Hardening; Azure AD; Active Directory; Microsoft; Entra ID, 2024-08-30
Bloodhound, https://github.com/BloodHoundAD/BloodHound, Tools; Hardening; Azure AD; Active Directory; Microsoft; Entra ID, 2024-08-30
Mimikatz, https://github.com/gentilkiwi/mimikatz, Tools; Windows; Exploiting; Hacking; Microsoft; Tokens; Pass-the-Hash, 2024-08-30
ProcessHacker, https://processhacker.sourceforge.io/, Tools; Windows; Exploiting; Microsoft, 2024-08-30
winPeas, https://github.com/carlospolop/PEASS-ng, Tools; Windows; Hardening; Exploiting; Microsoft, 2024-08-30
SharpUp, https://github.com/GhostPack/SharpUp, Tools; Windows; Hardening; Exploiting; Microsoft, 2024-08-30
SharpChrome, https://github.com/GhostPack/SharpDPAPI, Tools;Windows; Hardening, 2024-08-30
Seatbelt, https://github.com/GhostPack/Seatbelt, Tools; Windows; Hardening; Microsoft, 2024-08-30
TokenTactics, https://github.com/rvrsh3ll/TokenTactics, Tools; Windows; Microsoft; Token attack; Azure; M365;Entra ID, 2024-08-30
Maester, https://maester.dev/, M365 / Entra / Azure Security Testing Automation,  M365; Entra ID; Azure AD; Audit; Hardening; Tools, 2024-08-26
M365 Admin Tiering, https://github.com/emiliensocchi/azure-tiering, Administrative Tier-Modell for M365 and Azure, M365; Entra ID; Azure AD; Administration; Tier; Attack Paths, 2024-08-26
Analysis Tools, https://analysis-tools.dev/, Overview of static analysis tools and linters, DevOps; DevSecOps, 2024-02-23
